cName,PCON11CD,country,region,leave,FishandChipShopsandRestaurants,totalRestaurants,house,salary,publicsector,degree,age,nonukborn,health
Meriden,E14000812,England,West Midlands,0.588084347,439,3250,217000,583.9,14.7,26.2,40,5.7,81.4
Luton North,E14000800,England,East of England,0.582116142,53,748,163000,467.4,39.3,21.8,42,27.1,82.2
South Leicestershire,E14000940,England,East Midlands,0.582165414,382,3747,160000,539.9,11.8,25.7,43,5.5,84
Faversham and Mid Kent,E14000700,England,South East,0.582225593,408,3189,216000,549.6,16.9,25.3,39,6.3,82.7
Aldershot,E14000530,England,South East,0.578977657,127,1494,213000,540.3,9.2,25,41,16.9,85.7
The Wrekin,E14000992,England,West Midlands,0.582479077,383,2843,158000,475.7,25.2,24.7,40,7.7,81.2
North Herefordshire,E14000847,England,West Midlands,0.582501619,187,1712,210000,430.1,11.7,30.1,43,5.7,80.9
North Norfolk,E14000848,England,East of England,0.582538816,176,1231,185000,470.5,14.7,22.6,37,4,76.3
St Helens North,E14000962,England,North West,0.582912107,704,2500,115000,469.1,17.5,20.7,41,2.5,76.9
Charnwood,E14000625,England,East Midlands,0.582944905,238,1997,167250,497.1,22.2,26.3,40,7.7,83.4
Rugby,E14000905,England,West Midlands,0.583676602,376,2496,162000,528,12.6,26.7,42,11.8,82.4
Merthyr Tydfil and Rhymney,W07000071,Wales,Wales,0.584037439,681,2160,82000,434,35.1,16.4,46,3.9,72.1
Crawley,E14000652,England,South East,0.584136714,65,750,205000,550.4,10.9,21.5,44,20.3,83.5
Stalybridge and Hyde,E14000967,England,North West,0.592907293,265,1248,120000,471,20.3,20.1,29,5.5,78.6
Ludlow,E14000799,England,West Midlands,0.585841854,451,3358,189975,514.9,12.3,28.4,45,3.5,80.4
Rossendale and Darwen,E14000902,England,North West,0.585913029,578,2490,112000,451.7,15.8,24.9,44,4.1,79.9
South West Bedfordshire,E14000949,England,East of England,0.586108092,102,1246,180000,506.7,12.2,24.4,42,9,83.8
Gloucester,E14000712,England,South West,0.589001472,128,992,145000,468.8,27.5,21.8,36,10.8,81.8
Warrington North,E14001017,England,North West,0.586475817,377,1500,125000,476.6,12.7,22.7,43,5.3,80.8
Coventry North West,E14000650,England,West Midlands,0.586734704,108,1000,130000,493.9,21.3,22.9,44,16.2,80.6
Ribble Valley,E14000894,England,North West,0.586805144,548,2824,157500,496.9,14.9,30,34,3.6,82.9
Daventry,E14000660,England,East Midlands,0.587585411,306,2672,192500,551.6,11.5,28.6,44,5.6,83.7
Beverley and Holderness,E14000556,England,Yorkshire and The Humber,0.587896089,551,2690,142500,528.1,33.1,27.3,36,3.2,80.5
Islwyn,W07000077,Wales,Wales,0.588666751,606,2212,99999,485.7,22.8,18.1,43,2.1,74.8
Morecambe and Lunesdale,E14000825,England,North West,0.589129428,159,855,129000,462.8,17.1,23.6,30,5,77.9
Mid Worcestershire,E14000818,England,West Midlands,0.589437138,496,3835,190000,488.9,14.2,27.6,42,6,81.9
Sedgefield,E14000915,England,North East,0.589488067,714,3249,109000,501.8,13.5,21.2,32,2.6,75.9
Crewe and Nantwich,E14000653,England,North West,0.5900216,212,1500,136050,492.6,11.8,24.2,42,6.9,81.3
Coventry North East,E14000649,England,West Midlands,0.59225867,210,1749,118000,419.9,32.2,19.3,45,24.4,79.5
Yeovil,E14001060,England,South West,0.592924734,214,1743,165000,472.2,17.5,23,31,6.1,81.1
Chesterfield,E14000632,England,East Midlands,0.593187532,278,1500,125000,492.1,32.6,21.7,42,3.9,76.1
North Tyneside,E14000853,England,North East,0.593653326,485,2716,118250,443.2,11.7,20.2,34,3.9,77
Hayes and Harlington,E14000737,England,London,0.594054459,263,2990,240750,511.1,8,23,35,40.3,83.2
Feltham and Heston,E14000701,England,London,0.559320054,165,2244,236000,518,15.1,25.8,38,43.7,82.5
North Shropshire,E14000849,England,West Midlands,0.594574602,226,2015,162800,479.1,15.6,24.9,27,4.8,81.4
South Dorset,E14000936,England,South West,0.594928107,205,1622,203000,464.9,21,24.1,42,5.5,79.6
New Forest East,E14000827,England,South East,0.595424031,305,2497,223000,558,17.2,25.8,41,5.6,82.5
Northampton South,E14000862,England,East Midlands,0.596112425,202,2000,133500,490.6,22.6,22.8,32,19.3,82.3
Ashford,E14000536,England,South East,0.596788819,242,2188,195000,493.8,19.1,24.3,44,9.5,82.7
Ogmore,W07000074,Wales,Wales,0.5975247,325,1490,114500,442.5,23.1,18,46,2.4,74.6
Morley and Outwood,E14000826,England,Yorkshire and The Humber,0.597858784,788,3993,131000,532.1,20.2,22.9,43,4.3,81.8
Copeland,E14000647,England,North West,0.598460481,212,1095,122498,662,47.1,23.1,45,3.2,79
Christchurch,E14000638,England,South West,0.598748444,140,998,260000,524.4,13.6,24.9,31,5.5,77.8
Blyth Valley,E14000575,England,North East,0.598803579,258,1232,120000,460.9,13.6,18.7,39,2.3,77.2
Southampton Itchen,E14000955,England,South East,0.59958702,193,1996,160000,461.5,13.5,20.7,34,12.1,81.6
Aberavon,W07000049,Wales,Wales,0.599654508,224,1211,95000,490.3,25.2,16.6,39,2.9,72.8
Kingston upon Hull North,E14000772,England,Yorkshire and The Humber,0.599743353,177,1000,107000,417.9,22.8,18.9,38,10.8,80.3
Corby,E14000648,England,East Midlands,0.60114346,322,2559,149995,490.4,11.6,20.7,37,10.1,82.2
North Durham,E14000840,England,North East,0.601344263,429,1996,105000,482.2,18.3,20.2,38,2.2,75.9
Hereford and South Herefordshire,E14000743,England,West Midlands,0.601516969,215,1562,168000,423,19.7,25.2,34,7.5,80.8
Newport East,W07000055,Wales,Wales,0.602546849,307,1473,131500,475.3,15,20.5,40,7.2,78.7
Clwyd South,W07000062,Wales,Wales,0.602582014,139,1132,129995,444,16.6,22.3,42,3.6,79.4
Spelthorne,E14000959,England,South East,0.60299599,215,2245,265000,655.5,13.7,25.9,39,14.1,83.9
Workington,E14001053,England,North West,0.603195409,128,593,131750,512.4,19.1,20.8,40,2.4,78.2
North Cornwall,E14000837,England,South West,0.603202179,209,1215,210000,496,13.8,23,40,4.5,78.5
Barking,E14000540,England,London,0.603300234,82,750,180000,511.7,20,21.8,43,33.6,81.4
South Derbyshire,E14000935,England,East Midlands,0.60351001,567,3991,147500,508.2,14.9,26,41,3.9,82
Batley and Spen,E14000548,England,Yorkshire and The Humber,0.603524543,605,2494,117500,462.5,17.9,19.2,44,9.8,80.1
Halifax,E14000723,England,Yorkshire and The Humber,0.588216533,338,1674,105000,459.1,36.4,19.8,43,11.1,79.9
Rochford and Southend East,E14000899,England,East of England,0.604552041,285,2236,175000,506.2,22.6,19.5,35,10.4,79.2
Carlisle,E14000620,England,North West,0.604879993,168,897,115250,431.1,25.2,20.9,35,5.3,79.8
Mid Norfolk,E14000816,England,East of England,0.605826907,199,1407,167000,488.6,19.8,21.3,42,5.7,80
Bishop Auckland,E14000569,England,North East,0.606224144,442,2084,110000,474.3,22.4,20,46,2.4,75.7
Northampton North,E14000861,England,East Midlands,0.606855735,51,500,135000,426.8,12.9,21.5,31,15.2,81.4
North West Leicestershire,E14000858,England,East Midlands,0.606984777,483,2988,159000,486.4,10.4,24.3,46,3.9,81
Bosworth,E14000583,England,East Midlands,0.607973039,420,2742,150000,479.2,10.6,23.7,32,4,81.9
Witham,E14001045,England,East of England,0.608304675,309,2298,210000,555.8,11.5,23.8,45,5.3,83
Torfaen,W07000053,Wales,Wales,0.608801543,200,722,117000,469.2,30.4,19.3,48,2.6,75.8
Brentwood and Ongar,E14000594,England,East of England,0.608936703,322,2733,280000,655.3,12.9,28.7,42,7.6,84
Leeds East,E14000778,England,Yorkshire and The Humber,0.609085115,167,1498,124950,432,26.3,16.2,44,14.4,78.7
Kettering,E14000769,England,East Midlands,0.609883689,185,1469,135000,531.3,21.6,23.3,31,8.5,82.4
Grantham and Stamford,E14000714,England,East Midlands,0.610124869,144,1166,151498,484.1,15.2,24.8,47,7.5,81.8
Epping Forest,E14000693,England,East of England,0.610737674,353,2999,300000,670.8,16.2,26.3,38,10.4,83.1
Harwich and North Essex,E14000734,England,East of England,0.610746274,385,2393,187500,558,13.7,24.3,33,6.4,81.4
Rhondda,W07000052,Wales,Wales,0.612428866,352,1240,62000,432.4,38.9,14,33,2.1,70.6
Birmingham Yardley,E14000568,England,West Midlands,0.600948076,273,2000,120000,462.9,14.5,16,30,17.9,77.6
Maldon,E14000806,England,East of England,0.613139427,176,1664,225000,585.4,16.6,24.2,33,4.3,83
Penistone and Stocksbridge,E14000876,England,Yorkshire and The Humber,0.613481636,612,3241,135000,545.8,13,24.5,31,2.6,79.3
Scarborough and Whitby,E14000913,England,Yorkshire and The Humber,0.613699703,238,913,140000,493.6,23.8,23,44,5.2,77.7
Redditch,E14000892,England,West Midlands,0.61419735,270,2202,156000,453,15.8,21.7,44,7.7,81.8
Braintree,E14000590,England,East of England,0.614274471,243,1908,192500,573.9,16.9,22,41,6,83.3
Worsley and Eccles South,E14001054,England,North West,0.597911332,395,1747,120000,474.7,15.7,20.3,45,6.4,78.4
Sheffield Brightside and Hillsborough,E14000921,England,Yorkshire and The Humber,0.614393463,250,1999,90000,424.8,31.6,15.5,35,14.7,76.7
Sleaford and North Hykeham,E14000929,England,East Midlands,0.61532469,278,1739,149000,509.7,15.3,26.1,42,5,81
Derby South,E14000663,England,East Midlands,0.616110001,394,2746,112500,507.2,14.5,19.3,39,20.1,78.5
Jarrow,E14000765,England,North East,0.616159689,494,2478,115000,474.9,18.5,19.7,41,2.4,76.4
South Thanet,E14000948,England,South East,0.616340766,421,2247,167000,460,17.6,21.9,42,9,76.8
Newcastle-under-Lyme,E14000834,England,West Midlands,0.616673591,227,1500,125000,478.5,13,22.7,40,6,79.2
Warley,E14001016,England,West Midlands,0.618257099,337,2477,113973,408.6,14.9,18.3,39,23,77.4
Folkestone and Hythe,E14000704,England,South East,0.618355223,382,2724,181000,490.6,20.6,22.2,40,9,78.5
Denton and Reddish,E14000661,England,North West,0.609840282,473,2497,114000,426.1,12.6,17.3,42,5,78.3
Isle of Wight,E14000762,England,South East,0.619463341,378,2501,174000,459.5,21.4,22.6,45,5.2,77.3
Gosport,E14000713,England,South East,0.619747154,61,498,160000,485.8,20.2,23,40,5.9,81.5
Wakefield,E14001009,England,Yorkshire and The Humber,0.627650673,392,1743,124950,433.7,29.5,20.5,42,8.7,78.8
Blaenau Gwent,W07000072,Wales,Wales,0.620280444,493,1719,72000,398.3,26.6,15.2,40,2.2,72.6
Gainsborough,E14000707,England,East Midlands,0.620327016,487,2336,142500,474,18,25.2,41,4,79.9
Swansea East,W07000048,Wales,Wales,0.620992238,209,1743,99999,462.2,37,17.9,42,6,76
Heywood and Middleton,E14000747,England,North West,0.624256116,355,1496,120000,485,13.6,19.8,41,6.5,77.9
North East Derbyshire,E14000843,England,East Midlands,0.621731352,755,4750,145000,536.6,23.6,22.2,40,2.4,77.4
Bridgwater and West Somerset,E14000595,England,South West,0.621904646,288,1976,165000,484.3,21,21.7,38,5.2,79.2
Havant,E14000736,England,South East,0.624505809,158,995,195500,489.9,15.4,22.2,37,5.1,79.7
Torbay,E14000999,England,South West,0.626595107,168,950,156000,419.7,31.5,20.7,39,6,76.5
Bradford South,E14000588,England,Yorkshire and The Humber,0.635612178,435,2200,103000,413.8,13.9,16.1,44,11.2,79
Wigan,E14001039,England,North West,0.627132776,337,1249,115000,457.6,26.6,19.8,45,4.1,77.4
Oldham West and Royton,E14000871,England,North West,0.613082972,357,1750,104500,428,27.5,16.4,42,15.2,77.9
South Shields,E14000944,England,North East,0.620525327,92,495,110000,454.8,36.1,18.6,40,4.2,75.2
Peterborough,E14000878,England,East of England,0.613095947,360,3118,125000,451.7,19.8,17.7,41,24.6,80.4
Wellingborough,E14001025,England,East Midlands,0.629385766,172,1499,134000,455.9,11.3,19.7,40,10.6,80.9
Rochester and Strood,E14000898,England,South East,0.63688123,206,1499,172000,583.4,20.3,20.5,42,9.3,82.2
Dover,E14000670,England,South East,0.631298699,329,1986,160000,538.3,25.8,20.7,38,7.5,78.5
Wyre Forest,E14001058,England,West Midlands,0.631454747,395,2377,150000,468.2,16.9,22.1,42,3.9,78.8
Pendle,E14000875,England,North West,0.631542958,432,1999,85000,460.8,13.5,20.2,34,10.9,78
Old Bexley and Sidcup,E14000869,England,London,0.631582314,119,997,249500,666.7,21.8,22.6,38,9.9,83
Waveney,E14001022,England,East of England,0.632098854,228,1121,138000,458.2,19.1,17.1,40,3.8,77.4
West Suffolk,E14001034,England,East of England,0.632605276,254,1739,165000,427.5,13.7,20.2,45,15.8,83.2
Erewash,E14000695,England,East Midlands,0.633037158,213,998,117000,504.6,20.3,18.9,43,3.8,79.1
East Yorkshire,E14000683,England,Yorkshire and The Humber,0.633133693,355,1641,137264,499.2,19.3,22.9,32,3.4,77.6
Bolton South East,E14000579,England,North West,0.634216819,680,2740,81500,408.7,25,16.4,28,15.9,78
Leigh,E14000785,England,North West,0.634528829,446,1748,108250,486.9,14.3,20.2,30,3.9,78.6
St Austell and Newquay,E14000961,England,South West,0.63507999,228,1216,168000,460.9,16,20.6,40,4.1,78.1
Ashton-under-Lyne,E14000537,England,North West,0.618098026,596,2748,94750,430.2,29.3,15.4,41,9.3,77
Walsall South,E14001012,England,West Midlands,0.616352759,531,2229,120823,441,25.3,18.3,42,18.1,77.7
Sherwood,E14000924,England,East Midlands,0.637624516,510,2747,127000,453.7,19.7,20.5,39,2.9,77.9
Dartford,E14000659,England,South East,0.640358001,379,2996,205000,573.9,14.8,22.3,37,10.9,83.3
Gillingham and Rainham,E14000711,England,South East,0.635820896,141,1000,159000,529.2,31,19.1,42,10.2,81.9
Bognor Regis and Littlehampton,E14000576,England,South East,0.642237761,239,1500,195000,427,16.5,20.1,33,9.8,78.4
Staffordshire Moorlands,E14000966,England,West Midlands,0.645823154,481,3160,138000,506.7,15.4,24.1,43,2.3,79.2
Burton,E14000610,England,West Midlands,0.646241364,227,1701,135000,462.3,16.4,22,33,9.2,81.3
Houghton and Sunderland South,E14000754,England,North East,0.624341858,387,1743,110000,470.2,21.4,16.7,32,2,74.4
Chatham and Aylesford,E14000626,England,South East,0.64748516,294,2200,159000,517.5,14.6,18.1,42,9.6,82.3
Nuneaton,E14000868,England,West Midlands,0.647546321,215,1247,135000,486.7,24.2,19.4,35,6.7,80.3
Middlesbrough,E14000819,England,North East,0.660836466,417,2250,87000,435.5,34.6,16.9,42,10.6,77.5
North Thanet,E14000852,England,South East,0.649697987,392,2247,173000,495.3,25,19.5,32,6.1,76.4
Makerfield,E14000805,England,North West,0.650009038,407,1499,118000,500,21.1,19.4,42,2.5,78.8
Middlesbrough South and East Cleveland,E14000820,England,North East,0.650028211,444,2134,134950,464.7,24.3,22.4,38,2.7,78.2
Stoke-on-Trent Central,E14000972,England,West Midlands,0.650165631,302,1750,80000,424.3,31.2,17.1,44,11.6,77.3
Bexleyheath and Crayford,E14000558,England,London,0.650495758,208,1748,220000,626,16.9,20.3,36,12,82.2
Stourbridge,E14000976,England,West Midlands,0.636639833,335,1730,142500,522.8,18.3,21.9,40,4.8,79.6
Washington and Sunderland West,E14001020,England,North East,0.618513324,462,2235,108000,428.9,20.5,15.9,42,2.4,76.2
Amber Valley,E14000533,England,East Midlands,0.653392145,332,1749,120000,485.3,20.3,18.7,38,2.7,77.8
South Staffordshire,E14000945,England,West Midlands,0.652428172,995,4953,171250,510.5,17.5,24.5,42,2.8,80.6
Gravesham,E14000715,England,South East,0.65377208,192,1497,188000,536.6,22.2,20,34,14.1,81.5
Nottingham North,E14000866,England,East Midlands,0.63808056,143,1246,84000,381.4,20.9,13.3,28,11.2,76.2
Hyndburn,E14000758,England,North West,0.657517922,205,996,88500,429,17.2,19.5,44,7.3,77.5
Sittingbourne and Sheppey,E14000927,England,South East,0.657612536,171,1248,160000,520,18.4,16.5,45,5.6,79.8
Broxbourne,E14000606,England,East of England,0.658179306,237,2000,240000,603.4,9.9,19.9,28,11.7,83.2
Tamworth,E14000986,England,West Midlands,0.660041137,320,1741,147500,460.2,11.7,19.6,32,3.9,81.1
North West Norfolk,E14000859,England,East of England,0.661405022,246,1173,157000,446.1,25.6,19.5,35,8.3,77.8
Brigg and Goole,E14000596,England,Yorkshire and The Humber,0.662050789,449,2008,124950,566.2,16.8,20.6,35,4.9,79.6
Portsmouth North,E14000883,England,South East,0.636934145,182,1489,160000,474.9,23.8,20.7,28,7.6,82
South West Norfolk,E14000952,England,East of England,0.662516675,288,1481,154000,477.2,12.1,17.7,37,9.7,79.1
Doncaster Central,E14000668,England,Yorkshire and The Humber,0.663199758,717,3000,110000,436,30.3,18.5,35,11.4,78.7
Halesowen and Rowley Regis,E14000722,England,West Midlands,0.663447273,210,989,130000,473.1,11.6,19,28,5.7,78.2
Sheffield South East,E14000920,England,Yorkshire and The Humber,0.664899271,469,3499,110000,434,8.1,16.1,40,8.6,77.3
Stockton North,E14000970,England,North East,0.665002326,427,2500,109973,465,25.5,18.1,41,3.9,77.3
Easington,E14000677,England,North East,0.665730998,288,1247,80000,438.7,20.2,15.3,41,2.2,71.8
Burnley,E14000609,England,North West,0.66612799,160,749,73000,439.9,22.9,18.7,32,7.7,76.6
Blackpool North and Cleveleys,E14000572,England,North West,0.668536538,404,1750,109725,427.2,41.7,17.6,46,4.7,73.9
Rother Valley,E14000903,England,Yorkshire and The Humber,0.667219886,621,3248,130000,515,18.3,20.5,46,2.9,78.5
Basildon and Billericay,E14000544,England,East of England,0.669165671,271,2234,219125,535.3,14.6,20.6,41,7.5,81.8
Telford,E14000989,England,West Midlands,0.670579494,232,2126,130250,443.8,14.9,18.3,36,6.4,79.6
Hemsworth,E14000740,England,Yorkshire and The Humber,0.681255456,532,1992,117500,442,19.4,18.4,43,4.3,75.1
Redcar,E14000891,England,North East,0.675739185,371,1750,115000,473.9,18.6,16.8,45,2.2,75.9
West Bromwich East,E14001029,England,West Midlands,0.675940263,440,1977,120000,481.1,26.1,15.3,40,17.1,76.4
North Warwickshire,E14000854,England,West Midlands,0.677703565,454,2740,132750,498.4,8.5,18.4,34,4.5,79
Romford,E14000900,England,London,0.692856492,278,2245,227500,651.6,28.8,20.6,35,11.3,82.6
Blackpool South,E14000573,England,North West,0.678039136,286,1250,90000,373.1,23.1,14.6,48,5.7,73.8
Kingston upon Hull West and Hessle,E14000773,England,Yorkshire and The Humber,0.678446033,419,2250,92000,440.6,24.4,16.1,38,10.3,77
Rayleigh and Wickford,E14000888,England,East of England,0.678895093,203,1490,220500,606.2,20.1,19.9,40,3.9,83
Wolverhampton North East,E14001049,England,West Midlands,0.677052519,541,2474,106000,407,44.8,15,45,12.3,76.9
Harlow,E14000729,England,East of England,0.680185281,255,2246,185000,479.1,20.2,18.4,43,10.9,81.3
Aldridge-Brownhills,E14000531,England,West Midlands,0.677963496,211,993,155000,470.5,14.7,20.5,46,3.9,78.4
Rotherham,E14000904,England,Yorkshire and The Humber,0.683459631,434,2248,110000,399.4,30.7,14.3,45,9.6,76.3
Bassetlaw,E14000546,England,East Midlands,0.683248597,361,1837,122000,469.5,18.6,19.8,39,4.8,77.3
Barnsley Central,E14000541,England,Yorkshire and The Humber,0.683781588,211,747,96750,477,30.1,17.1,37,4.4,75.8
Cleethorpes,E14000643,England,Yorkshire and The Humber,0.684105982,563,2728,125000,506.3,12.2,19,34,3.4,79.5
Don Valley,E14000667,England,Yorkshire and The Humber,0.685595984,741,3249,120000,519.4,21.9,18.2,52,3.7,77.2
Plymouth Moor View,E14000879,England,South West,0.6644024,110,719,131500,448,37.9,15.7,40,4.7,76.8
Wolverhampton South East,E14001050,England,West Midlands,0.681449563,400,1727,105000,415.4,7.4,13.9,45,15.5,75.6
Cannock Chase,E14000618,England,West Midlands,0.688603531,212,995,125000,457,14.4,17.2,36,2.5,78.8
Scunthorpe,E14000914,England,Yorkshire and The Humber,0.69086341,210,951,105000,461.4,21.7,16.9,40,9.4,79.4
West Bromwich West,E14001030,England,West Midlands,0.691356679,406,1723,100000,428.9,11.8,13.1,45,11.9,76.5
Dudley North,E14000671,England,West Midlands,0.714302256,388,1725,120000,405.3,41.7,17,50,7.1,76.8
Louth and Horncastle,E14000798,England,East Midlands,0.694253371,323,1643,136000,475.6,18.1,19.8,40,3.3,74.3
North East Cambridgeshire,E14000842,England,East of England,0.694460401,303,1841,137250,467.9,14.9,15.9,38,8.5,78
Hornchurch and Upminster,E14000751,England,London,0.694946937,284,2240,249998,616.3,19.3,20,41,9,81
Hartlepool,E14000733,England,North East,0.695683297,252,1250,115495,462.1,23.7,17.6,44,2.8,76
Dagenham and Rainham,E14000657,England,London,0.699260159,287,2247,199995,519.6,21,17.6,38,20.2,80.4
Dudley South,E14000672,England,West Midlands,0.704173185,244,1232,130000,441,17.5,17.2,43,4.2,77.4
Great Grimsby,E14000716,England,Yorkshire and The Humber,0.714466296,236,1211,95000,441.3,21.4,14.5,34,5,78.7
Thurrock,E14000995,England,East of England,0.702591365,201,1492,168000,554,14.9,18.1,43,14.7,83
Bolsover,E14000577,England,East Midlands,0.702722126,576,3000,100000,419.8,15.1,16.3,35,3,74.4
Ashfield,E14000535,England,East Midlands,0.7057585,294,1250,105000,442,23.6,14.6,36,3,75.7
Wentworth and Dearne,E14001028,England,Yorkshire and The Humber,0.689750761,778,3496,115000,450.9,16.3,15.5,42,2.4,74.8
Barnsley East,E14000542,England,Yorkshire and The Humber,0.707779414,421,1494,98000,453.8,18.4,14.8,46,2.9,74.1
Normanton Pontefract and Castleford,E14000836,England,Yorkshire and The Humber,0.692552829,390,1495,115000,431.7,14.7,15,35,3.7,75.5
Stoke-on-Trent South,E14000974,England,West Midlands,0.708479799,133,750,103250,452.8,14.2,15.8,43,5.2,76.7
Mansfield,E14000810,England,East Midlands,0.708629135,356,1748,110000,423.4,21,16.4,39,5.6,75.8
Clacton,E14000642,England,East of England,0.710765738,207,1037,150000,426.4,26.1,13.4,39,4.3,70.9
South Holland and The Deepings,E14000939,England,East Midlands,0.711779596,170,957,140000,467.9,9.5,17.1,52,8.9,78.8
Great Yarmouth,E14000717,England,East of England,0.715049473,113,704,135000,425,21.2,14.2,33,6.5,76.3
Walsall North,E14001011,England,West Midlands,0.741852182,294,1240,105000,421.6,17.5,12.3,44,6.2,75.9
Doncaster North,E14000669,England,Yorkshire and The Humber,0.720605085,429,1657,100750,497.6,20.6,14.3,40,3.1,76.8
Stoke-on-Trent North,E14000973,England,West Midlands,0.721233699,217,1250,92000,398.5,17.3,13.7,46,7,76.1
Kingston upon Hull East,E14000771,England,Yorkshire and The Humber,0.726331543,484,2493,85000,451.6,14.8,12.3,38,3.9,77.2
Castle Point,E14000622,England,East of England,0.726993924,119,743,200000,570.8,21,14.6,46,3.6,79.6
South Basildon and East Thurrock,E14000933,England,East of England,0.73078706,333,2484,170000,551,32.1,15.6,45,6.5,80.9
Boston and Skegness,E14000582,England,East Midlands,0.749607781,191,1051,125000,436.8,18.7,14.4,32,11.3,75.6
